,model_type,region,baseline_response,training_score,testing_score,baseline,model_success,best_params
0,logreg,Europe,no accomodation,0.9947045707915273,0.9348370927318296,0.9220480668756531,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
1,logreg,Europe,no arrests,0.9788182831661093,0.9181286549707602,0.8854754440961338,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
2,logreg,Europe,no beatings,0.9977703455964325,0.9624060150375939,0.967816091954023,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
3,logreg,Europe,no crowd_dispersal,0.9933110367892977,0.8822055137844611,0.7684430512016719,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
4,logreg,Europe,ignore,0.9905239687848384,0.822890559732665,0.6764890282131661,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
5,logreg,Europe,no killings,0.9969342251950948,0.9941520467836257,0.9928944618599791,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
6,logreg,Europe,no shootings,0.9991638795986622,0.9891395154553049,0.9914315569487984,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
7,logreg,Africa,no accomodation,0.982363315696649,0.916776750330251,0.8733884297520661,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
8,logreg,Africa,no arrests,0.9739858906525574,0.8916776750330251,0.8320661157024793,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
9,logreg,Africa,no beatings,0.9828042328042328,0.9273447820343461,0.9226446280991736,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
10,logreg,Africa,no crowd_dispersal,0.9977954144620811,0.8229854689564069,0.5639669421487603,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
11,logreg,Africa,no ignore,0.9986772486772487,0.8005284015852048,0.5857851239669422,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
12,logreg,Africa,no killings,0.9995590828924162,0.9286657859973579,0.8981818181818182,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
13,logreg,Africa,no shootings,0.9797178130511464,0.9299867899603699,0.871404958677686,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
14,logreg,Asia,no accomodation,0.9684893419833179,0.8875,0.8756080611535789,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
15,logreg,Asia,no arrests,0.9323447636700649,0.8541666666666666,0.8485059068797776,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
16,logreg,Asia,no beatings,0.9772937905468025,0.9388888888888889,0.9204308547602502,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
17,logreg,Asia,no crowd_dispersal,0.9657089898053753,0.7611111111111111,0.7029186935371786,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
18,logreg,Asia,ignore,0.9624652455977757,0.7736111111111111,0.5059068797776234,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
19,logreg,Asia,no killings,0.9721964782205746,0.9527777777777777,0.9444058373870744,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
20,logreg,Asia,no shootings,0.9884151992585728,0.9527777777777777,0.9503127171646977,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
21,logreg,South America,no accomodation,0.9253604749787956,0.8804071246819338,0.8867684478371501,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
22,logreg,South America,no arrests,0.9677692960135709,0.905852417302799,0.8842239185750637,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
23,logreg,South America,no beatings,0.9957591178965225,0.989821882951654,0.9872773536895675,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
24,logreg,South America,no crowd_dispersal,0.909245122985581,0.8498727735368957,0.6762086513994912,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
25,logreg,South America,ignore,0.9211195928753181,0.7353689567430025,0.5674300254452926,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
26,logreg,South America,no killings,0.9660729431721798,0.9720101781170484,0.9472010178117048,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
27,logreg,South America,no shootings,0.9923664122137404,0.9745547073791349,0.9713740458015268,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
28,logreg,MENA,no accomodation,0.967940813810111,0.922509225092251,0.9168207024029575,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
29,logreg,MENA,no arrests,0.9852034525277436,0.8450184501845018,0.8428835489833642,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
30,logreg,MENA,no beatings,0.9654747225647349,0.922509225092251,0.9131238447319778,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
31,logreg,MENA,no crowd_dispersal,0.9839704069050554,0.7564575645756457,0.6913123844731978,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
32,logreg,MENA,no ignore,0.9852034525277436,0.7638376383763837,0.5600739371534196,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
33,logreg,MENA,no killings,0.9975339087546239,0.8856088560885609,0.8826247689463955,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
34,logreg,MENA,no shootings,0.9876695437731196,0.8339483394833949,0.8706099815157117,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
35,logreg,North America,no accomodation,0.959349593495935,0.8467741935483871,0.9107505070993915,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
36,logreg,North America,no arrests,0.9728997289972899,0.9112903225806451,0.8113590263691683,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
37,logreg,North America,no beatings,0.997289972899729,0.9758064516129032,0.973630831643002,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
38,logreg,North America,no crowd_dispersal,0.962059620596206,0.8951612903225806,0.8093306288032455,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
39,logreg,North America,ignore,0.940379403794038,0.75,0.5760649087221096,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
40,logreg,North America,no killings,1.0,0.9274193548387096,0.9574036511156186,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
41,logreg,North America,no shootings,1.0,0.8629032258064516,0.9127789046653144,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
42,logreg,Central America,no accomodation,1.0,0.9166666666666666,0.916083916083916,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
43,logreg,Central America,no arrests,0.9657320872274143,0.9259259259259259,0.8834498834498834,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
44,logreg,Central America,no beatings,0.9844236760124611,0.9259259259259259,0.9673659673659674,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
45,logreg,Central America,no crowd_dispersal,0.9501557632398754,0.7777777777777778,0.6899766899766899,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
46,logreg,Central America,ignore,0.9968847352024922,0.8148148148148148,0.5990675990675991,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
47,logreg,Central America,no killings,1.0,0.9444444444444444,0.9533799533799534,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
48,logreg,Central America,no shootings,0.9968847352024922,0.9074074074074074,0.8834498834498834,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
